fighter_url,first_name,last_name,nickname,height_inches,weight_lbs,reach_inches,stance,wins,loss,draws,belt
http://www.ufcstats.com/fighter-details/cad24459b28592ca,Eryk,Anders,Ya Boi,73.0,185.0,75.0,Southpaw,13,5,0,False
http://www.ufcstats.com/fighter-details/8738eacd62e82a32,Matt,Andersen,,74.0,230.0,,Southpaw,14,8,1,False
http://www.ufcstats.com/fighter-details/9199e0735b83dd32,Andy,Anderson,The Hammer,66.0,240.0,,,0,1,0,False
http://www.ufcstats.com/fighter-details/1ffc38f67785797b,Lowell,Anderson,,66.0,160.0,,Orthodox,0,1,0,False
http://www.ufcstats.com/fighter-details/5e4eec08896c9423,Corey,Anderson,Overtime,75.0,205.0,79.0,Orthodox,14,5,0,False
http://www.ufcstats.com/fighter-details/19ba965651486013,Derek,Anderson,Barbaric,72.0,155.0,,,14,3,0,False
http://www.ufcstats.com/fighter-details/a0e75f4a13eb73f1,Megan,Anderson,,72.0,145.0,72.0,Orthodox,11,4,0,False
http://www.ufcstats.com/fighter-details/1562b12763cc8d67,Alex,Andrade,El Toro,71.0,200.0,,Orthodox,10,5,0,False
http://www.ufcstats.com/fighter-details/6a1901c62ab3870f,Jessica,Andrade,Bate Estaca,61.0,115.0,62.0,Orthodox,20,8,0,False
http://www.ufcstats.com/fighter-details/d221ee27afc7a60e,Viscardi,Andrade,,71.0,170.0,75.0,Orthodox,19,6,0,False
http://www.ufcstats.com/fighter-details/9bad58fa651d6196,Jermaine,Andre,,67.0,200.0,,Orthodox,14,4,0,False
http://www.ufcstats.com/fighter-details/00debc804e2b1cd4,Dylan,Andrews,The Villain,73.0,185.0,74.0,Switch,18,7,0,False
http://www.ufcstats.com/fighter-details/46e2ca71fd5089cb,Reese,Andy,Riptide,72.0,205.0,,Orthodox,7,3,0,False
http://www.ufcstats.com/fighter-details/e20ad078a7d63361,Julius,Anglickas,,75.0,205.0,,Orthodox,5,1,0,False
http://www.ufcstats.com/fighter-details/047a91d3d9c79b05,Collin,Anglin,,69.0,145.0,,,7,1,0,False
http://www.ufcstats.com/fighter-details/e06fd1260ac865a7,Yoji,Anjo,Mr. 200%,71.0,205.0,,Orthodox,0,5,1,False
http://www.ufcstats.com/fighter-details/d802174b0c0c1f4e,Magomed,Ankalaev,,75.0,205.0,75.0,Orthodox,13,1,0,False
http://www.ufcstats.com/fighter-details/d343df8ba11f4c4e,Nina,Ansaroff,,65.0,115.0,64.0,Orthodox,10,6,0,False
http://www.ufcstats.com/fighter-details/af997f7611673880,Gadzhimurad,Antigulov,,71.0,205.0,70.0,Orthodox,20,6,0,False
http://www.ufcstats.com/fighter-details/25b31165758402dd,Adam,Antolin,Captain Chaos,65.0,125.0,63.0,Orthodox,12,3,0,False
http://www.ufcstats.com/fighter-details/dbd198f780286aca,Angelo,Antonio,,,205.0,,Orthodox,1,4,0,False
http://www.ufcstats.com/fighter-details/78d48d3874dacafd,Azunna,Anyanwu,Zulu,73.0,251.0,,Orthodox,14,5,0,False
http://www.ufcstats.com/fighter-details/4665f9f909cd7214,Shinsho,Anzai,Animal,67.0,170.0,70.0,Orthodox,10,3,0,False
http://www.ufcstats.com/fighter-details/79ded75550efc139,Shinya,Aoki,Tobikan Judan,71.0,154.0,,Southpaw,39,7,0,False
http://www.ufcstats.com/fighter-details/0c1a04afca64e38f,Josh,Appelt,,70.0,255.0,,Southpaw,15,7,0,False
http://www.ufcstats.com/fighter-details/1ccff7f0cfdf85eb,Erik,Apple,,72.0,170.0,,Orthodox,10,3,0,False
http://www.ufcstats.com/fighter-details/269d103c96a4c3a5,Kenji,Arai,,70.0,145.0,,Southpaw,15,15,5,False
http://www.ufcstats.com/fighter-details/73ef22f25d0f70e2,Romie,Aram,,70.0,170.0,,Orthodox,7,1,0,False
http://www.ufcstats.com/fighter-details/71002dbc1743b9a7,Felipe,Arantes,Sertanejo,68.0,135.0,73.0,Orthodox,18,10,1,False
http://www.ufcstats.com/fighter-details/dbea8c1cb327ab3d,Igor,Araujo,,73.0,170.0,77.0,Orthodox,25,9,0,False
http://www.ufcstats.com/fighter-details/36541f1e6c5d4955,Viviane,Araujo,Vivi,64.0,125.0,68.0,Orthodox,8,2,0,False
http://www.ufcstats.com/fighter-details/1291edf2d566a71a,Julio,Arce,,67.0,145.0,70.0,Southpaw,16,4,0,False
http://www.ufcstats.com/fighter-details/d25e39e74efb0a77,Art,Arciniega,King Arthur,68.0,145.0,,,15,7,0,False
http://www.ufcstats.com/fighter-details/9c9455912d917e4e,Tristan,Arenal,,,155.0,,,7,4,0,False
http://www.ufcstats.com/fighter-details/3738e68d2261e60f,Andrei,Arlovski,The Pitbull,75.0,240.0,77.0,Orthodox,29,19,0,False
http://www.ufcstats.com/fighter-details/30ad2050273d016a,Joey,Armstrong,,,,,,5,2,0,False
http://www.ufcstats.com/fighter-details/bf0e700106d00e55,Austin,Arnett,,72.0,145.0,72.0,Orthodox,16,6,0,False
http://www.ufcstats.com/fighter-details/05fbfe628658c538,Ricardo,Arona,The Brazilian Tiger,71.0,205.0,,Orthodox,14,5,0,False
http://www.ufcstats.com/fighter-details/770b9d4813c25902,Chalid,Arrab,Die Faust,71.0,205.0,,Orthodox,7,3,0,False
http://www.ufcstats.com/fighter-details/c136b2a8852da5bd,Akbarh,Arreola,El Caballero,70.0,155.0,71.0,Southpaw,23,11,1,False
